Test Year,Misclassification Cost Ratio,Algorithm,Tuned Model
2011,90,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2011,100,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=4)"
2012,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,5,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,10,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,15,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,25,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,35,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,45,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,60,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,70,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,80,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,90,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2012,100,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)"
2013,1,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,5,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,10,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,15,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,20,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,25,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,30,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,35,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,40,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,45,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,50,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,60,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,70,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,80,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,90,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2013,100,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=6,
                           min_weight_fraction_leaf=0.3)"
2014,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,5,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,10,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,15,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,25,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,35,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,45,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,60,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,70,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,80,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,90,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2014,100,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_weight_fraction_leaf=0.3)"
2015,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,5,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,10,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,15,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,25,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,35,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,45,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,60,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,70,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,80,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,90,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2015,100,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)"
2016,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,5,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,10,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,15,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,25,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,35,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,45,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,60,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,70,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,80,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,90,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2016,100,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')"
2017,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,5,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,10,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,15,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,25,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,35,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,45,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,60,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,70,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,80,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,90,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2017,100,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)"
2011,1,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,5,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,10,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,15,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,20,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,25,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,30,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,35,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,40,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,45,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,50,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,60,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,70,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,80,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,90,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2011,100,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5, n_estimators=50)"
2012,1,RF,RandomForestClassifier(max_depth=5)
2012,5,RF,RandomForestClassifier(max_depth=5)
2012,10,RF,RandomForestClassifier(max_depth=5)
2012,15,RF,RandomForestClassifier(max_depth=5)
2012,20,RF,RandomForestClassifier(max_depth=5)
2012,25,RF,RandomForestClassifier(max_depth=5)
2012,30,RF,RandomForestClassifier(max_depth=5)
2012,35,RF,RandomForestClassifier(max_depth=5)
2012,40,RF,RandomForestClassifier(max_depth=5)
2012,45,RF,RandomForestClassifier(max_depth=5)
2012,50,RF,RandomForestClassifier(max_depth=5)
2012,60,RF,RandomForestClassifier(max_depth=5)
2012,70,RF,RandomForestClassifier(max_depth=5)
2012,80,RF,RandomForestClassifier(max_depth=5)
2012,90,RF,RandomForestClassifier(max_depth=5)
2012,100,RF,RandomForestClassifier(max_depth=5)
2013,1,RF,RandomForestClassifier(max_depth=10)
2013,5,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,10,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,15,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,20,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,25,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,30,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,35,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,40,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,45,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,50,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,60,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,70,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,80,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,90,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2013,100,RF,"RandomForestClassifier(max_depth=10, n_estimators=50)"
2014,1,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,5,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,10,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,15,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,20,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,25,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,30,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,35,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,40,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,45,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,50,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,60,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,70,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,80,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,90,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2014,100,RF,"RandomForestClassifier(max_depth=3, min_samples_split=10)"
2015,1,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,5,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,10,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,15,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,20,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,25,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,30,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,35,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,40,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,45,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,50,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,60,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,70,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,80,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,90,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2015,100,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)"
2016,1,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,5,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,10,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,15,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,20,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,25,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,30,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,35,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,40,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,45,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,50,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,60,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,70,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,80,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,90,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2016,100,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)"
2017,1,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,5,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,10,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,15,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,20,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,25,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,30,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,35,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,40,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,45,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,50,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,60,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,70,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,80,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,90,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2017,100,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)"
2011,1,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,5,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,10,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,15,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,20,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,25,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,30,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,35,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,40,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,45,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,50,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,60,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
2011,70,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)"
